n,blocks,tx,tps,block_time_mean,quorum,replicate
20,270,41580,69.3,2.214996296296123,14,0
20,270,41580,69.3,2.214995555555383,14,1
20,270,41580,69.3,2.214981481481308,14,2
20,270,41580,69.3,2.2150162962961226,14,3
20,270,41580,69.3,2.2149992592590877,14,4
30,270,41580,69.3,2.2197037037034577,20,0
30,270,41580,69.3,2.219712592592345,20,1
30,270,41580,69.3,2.2196733333330876,20,2
30,270,41580,69.3,2.219668148147902,20,3
30,270,41580,69.3,2.219698518518273,20,4
50,268,41272,68.78666666666666,2.2307925373130657,34,0
50,268,41272,68.78666666666666,2.230774626865308,34,1
50,268,41272,68.78666666666666,2.2307753731339632,34,2
50,268,41272,68.78666666666666,2.2307686567160543,34,3
50,268,41272,68.78666666666666,2.2307776119399323,34,4
75,267,41118,68.53,2.2434187265912375,50,0
75,267,41118,68.53,2.243422471909589,50,1
75,267,41118,68.53,2.243420973782251,50,2
75,267,41118,68.53,2.243420224718578,50,3
75,267,41118,68.53,2.2434044943815,50,4
100,265,40810,68.01666666666667,2.2568777358483545,67,0
100,265,40810,68.01666666666667,2.256877735848353,67,1
100,265,40810,68.01666666666667,2.256875471697409,67,2
100,265,40810,68.01666666666667,2.256878490565334,67,3
100,265,40810,68.01666666666667,2.2568815094332613,67,4
150,262,40348,67.24666666666667,2.283025190838715,100,0
150,262,40348,67.24666666666667,2.2830213740448237,100,1
150,262,40348,67.24666666666667,2.283020610686044,100,2
150,262,40348,67.24666666666667,2.2830206106860467,100,3
150,262,40348,67.24666666666667,2.2830259541974947,100,4
200,259,39886,66.47666666666667,2.3099737451724067,134,0
200,259,39886,66.47666666666667,2.3099907335893954,134,1
200,259,39886,66.47666666666667,2.3099783783770405,134,2
200,259,39886,66.47666666666667,2.3099706563693183,134,3
200,259,39886,66.47666666666667,2.3099822393809015,134,4
300,253,38962,64.93666666666667,2.3623367588913133,200,0
300,253,38962,64.93666666666667,2.3623462450573216,200,1
300,253,38962,64.93666666666667,2.3623383399189803,200,2
300,253,38962,64.93666666666667,2.362376284583013,200,3
300,253,38962,64.93666666666667,2.3623557312233276,200,4
500,243,37422,62.37,2.468799999996624,334,0
500,243,37422,62.37,2.468783539091273,334,1
500,243,37422,62.37,2.468809053494566,334,2
500,243,37422,62.37,2.468804115222959,334,3
500,243,37422,62.37,2.46879835390609,334,4
